t	fluks1	fluks2	P	Tf	Tc	v	I	Xe	Pm	Sm	z1	z2	rho	pcrit	Tfin	Tcin	mdotf	mdotc	c1	c2	c3	c4	c5	c6
13.4278142515	486408158.118	1.07187027614e+12	209552.183289	72.1346404907	56.5974721739	0.0	7.04553776613e+13	9.10206924219e+13	9.64078222155e+13	6.24144998208e+15	40.0	32.46	0.000230546070073	0.00643633	70.0	55.0	5.0	10.0	1336909715.76	3630709402.19	891542994.809	667784977.788	52811425.9519	7373933.58498
13.9429029468	488277544.871	1.07600688629e+12	210357.763732	72.1432932716	56.5979407358	0.0	7.04554292778e+13	9.10206892441e+13	9.64078313395e+13	6.24144997313e+15	40.0	32.46	0.000228182014879	0.00643633	70.0	55.0	5.0	10.0	1337330027.99	3633455239.17	893797639.477	671506051.531	53292746.9006	7417565.47101
14.4455805304	489876859.254	1.07954872934e+12	211046.983735	72.1521072377	56.5985176022	0.0	7.04554834373e+13	9.10206859174e+13	9.64078408876e+13	6.24144996374e+15	40.0	32.46	0.000225773709612	0.00643633	70.0	55.0	5.0	10.0	1337768676.01	3636299437.5	896056815.938	674966073.644	53638308.6428	7446814.65767
14.9587580462	491352813.816	1.08281974866e+12	211683.063766	72.1613944928	56.5991970545	0.0	7.04555421642e+13	9.10206823166e+13	9.64078512197e+13	6.24144995357e+15	40.0	32.46	0.00022323585235	0.00643633	70.0	55.0	5.0	10.0	1338241843.38	3639345146.64	898399743.887	678310224.222	53911264.9743	7471600.22628
15.453316881	492661214.405	1.08572137381e+12	212246.95327	72.1705611301	56.5999167267	0.0	7.04556017579e+13	9.10206786677e+13	9.64078616869e+13	6.24144994325e+15	40.0	32.46	0.000220730722214	0.00643633	70.0	55.0	5.0	10.0	1338719578.41	3642398518.71	900677032.959	681352333.65	54125089.2372	7492919.32384
15.9552627247	493896446.458	1.08846245125e+12	212779.326162	72.1800344571	56.6006962089	0.0	7.04556650239e+13	9.10206747984e+13	9.64078727836e+13	6.24144993231e+15	40.0	32.46	0.000218141534068	0.00643633	70.0	55.0	5.0	10.0	1339224271.91	3645601987.97	902995937.78	684263429.385	54309343.5702	7512797.12567
16.4641081689	495067901.668	1.09106359458e+12	213284.228259	72.1897727286	56.6015246138	0.0	7.04557318285e+13	9.10206707167e+13	9.64078844869e+13	6.24144992076e+15	40.0	32.46	0.000215479675057	0.00643633	70.0	55.0	5.0	10.0	1339754585.61	3648944870.75	905344966.442	687041065.407	54472904.3183	7531526.65187
16.9795471847	496182209.692	1.09353934163e+12	213764.515331	72.1997403738	56.6023933649	0.0	7.04558020665e+13	9.10206664289e+13	9.64078967788e+13	6.24144990862e+15	40.0	32.46	0.0002127548483	0.00643633	70.0	55.0	5.0	10.0	1340309419.87	3652418134.66	907714559.659	689686298.382	54621479.69	7549273.26129
17.4722399091	497186559.827	1.09577209246e+12	214197.422366	72.2093368222	56.6032447455	0.0	7.0455871479e+13	9.10206621947e+13	9.6407908915e+13	6.24144989663e+15	40.0	32.46	0.000210131235739	0.00643633	70.0	55.0	5.0	10.0	1340855106.25	3655811069.2	909964046.637	692065845.849	54751355.9438	7565228.94692
18.0000556371	498202736.6	1.0980324582e+12	214635.441164	72.2196645121	56.6041736589	0.0	7.04559481655e+13	9.10206575198e+13	9.64079223121e+13	6.24144988338e+15	40.0	32.46	0.000207307422455	0.00643633	70.0	55.0	5.0	10.0	1341455071.24	3659516143.05	912351311.894	694463836.829	54880084.6694	7581344.79161
18.4744936042	499067657.967	1.09995747657e+12	215008.273752	72.2289685307	56.6050194521	0.0	7.045601904e+13	9.10206532016e+13	9.6407934685e+13	6.24144987114e+15	40.0	32.46	0.000204763251321	0.00643633	70.0	55.0	5.0	10.0	1342006952.09	3662901639.83	914473056.711	696494437.227	54988173.1477	7595045.06696
18.9840120973	499949247.442	1.10192069142e+12	215388.303097	72.2389625459	56.6059356775	0.0	7.04560970958e+13	9.10206484482e+13	9.6407948303e+13	6.24144985766e+15	40.0	32.46	0.000202030135874	0.00643633	70.0	55.0	5.0	10.0	1342611944.72	3666588812.39	916722519.217	698552218.757	55097360.0253	7608996.70189
19.4991390782	500794232.802	1.10380348906e+12	215752.565214	72.2490501832	56.606867259	0.0	7.04561779495e+13	9.10206435267e+13	9.64079624008e+13	6.2414498437e+15	40.0	32.46	0.00019927113809	0.00643633	70.0	55.0	5.0	10.0	1343235613.96	3670364128.22	918962718.583	700511744.013	55201340.2384	7622358.95009
20.0075138928	523928369.647	1.15509833139e+12	225772.124704	72.2664097934	56.6079011209	0.0	7.04563014602e+13	9.10206360743e+13	9.64079837487e+13	6.24144982248e+15	40.0	32.56	0.000428816213091	0.00643633	70.0	55.0	5.0	10.0	1344205792.11	3676410723.16	923140692.607	706201147.709	56247803.7676	7878148.25671
